idx,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
46,0,46,0.0035698694204860295,0.0077094594517765555,0.0034218264943777343,0.00727263115481565,-0.001669223641334869,0.010927392816823237,0.017226010079538428,0.0251008441567788,-0.011378903815612443,0.03302100157501742,0.014276746925428442,0.03620522192728899,0.7029072720100736,0.2470733596343519
47,0,47,0.0033286821150771335,0.009004157468982619,0.003813219105343556,0.008061074894922079,-0.000685409653991625,0.012867108877529423,0.01900603050604227,0.024058274415356823,-0.012488782566591163,0.03111685424982926,0.015629644870383638,0.0342958930810866,0.7058939148522678,0.2604379271458409
48,0,48,0.004061130330539032,0.008630830580386255,0.0030933898832536146,0.00782199143368636,-0.0016137587094221843,0.013330283622956119,0.01779961314156716,0.02663210822804954,-0.009288741344674329,0.025971595835717128,0.014430977247278601,0.03131845649402702,0.7282333372978436,0.25638593968307155
49,0,49,0.004742030735087262,0.00884610386246052,0.003037997292296941,0.008169699382300012,-0.002372344583170346,0.013533062906486211,0.017488246610784238,0.024117502124453773,-0.005917450920365335,0.025421940545653898,0.012361231112414434,0.03711980960386421,0.7401307976778365,0.26293784549882593
50,0,50,0.003946856124030196,0.008240939902244277,0.004246014032825798,0.008272226420188844,-0.0030843275411244504,0.011427209245706116,0.01330369573134672,0.026490510916627758,-0.006313109916402473,0.022855212431041355,0.01662078383467292,0.04355710289658772,0.7413645286583813,0.25555695381302695
51,0,51,0.004477952477820815,0.007966807646439894,0.004330254678801326,0.007551732167055928,-0.0037139063583190956,0.010849724532731407,0.011593186678097252,0.03008125311488882,-0.006523742476976441,0.030522929138671304,0.017089599661328458,0.045790941460381415,0.7358649890982902,0.25359012027345207
52,0,52,0.004338642887900926,0.006816006801547464,0.00441861187874931,0.007444503798605901,-0.0036538343676084913,0.010572432136654214,0.011727135800230193,0.02855456191524748,-0.006905466800591716,0.023026731955542272,0.01606794029192322,0.038346875902277026,0.7399067250223549,0.24815414952343876
53,0,53,0.0042873102719373675,0.0072307335313661165,0.004448431924381784,0.007508345860184489,-0.004074465281098557,0.010960660281843322,0.012699268810518827,0.028063341221315034,-0.006917993157782674,0.025025604300091063,0.015055127110643864,0.03796854453781865,0.7496583558538161,0.24605371888426758
54,0,54,0.004880172920923358,0.007419117135299294,0.00402440846614429,0.007112046168734016,-0.004623952277579659,0.009349765663108902,0.011479578018277684,0.02368033616428193,-0.004581315972892678,0.020435216636730952,0.014827629535010883,0.03072827710097312,0.7780154164908364,0.20178852024136126
55,0,55,0.004034500105728679,0.007116843105132566,0.0033608830807441968,0.007422553498490893,-0.004013484270038472,0.0106852838524532,0.012759847680625944,0.02323191603494111,-0.004814480559183846,0.020606219788049423,0.015990859543107038,0.028401451684212372,0.7641640917397271,0.2316965575604911
56,0,56,0.004445473473884613,0.007187640824047526,0.0031177456753689286,0.00746369632676646,-0.004114397753084032,0.01116079543302448,0.01256603352126034,0.021705895458643158,-0.003976659810383959,0.02475984120040558,0.011385474736957751,0.03454873887024202,0.7796655534732064,0.21872858692308556
57,0,57,0.004595545688582722,0.007012294870690688,0.003228764258952003,0.007160946527325123,-0.0036592800700698063,0.010476034825676734,0.012893223186671177,0.022548937389387097,-0.00607512122676913,0.02203148366553282,0.01253002493677173,0.026089993718569238,0.7795410960539306,0.19639570175272064
58,0,58,0.004230347259810472,0.00662756625756141,0.0031594727256547632,0.0072196793860383164,-0.002884098459543639,0.011377620716741954,0.013812141974351344,0.02287254374390819,-0.008346204440164293,0.02621405035049217,0.014797710390429394,0.023687143853942078,0.7599347731982242,0.22151720052696275
59,0,59,0.0034638303323087758,0.006682734299120525,0.00359627893784773,0.0073042943414291725,-0.0035243344156208035,0.010546712846279418,0.011573061054158541,0.025643010209860418,-0.006709482351422151,0.02208967507207031,0.01667996373236238,0.024565279409124192,0.7616727727083592,0.22124176558752986
60,0,60,0.003772290326147322,0.007121675300754916,0.0033863730854419476,0.006493280581835695,-0.0034436427817168785,0.010264114619523234,0.009810463306012339,0.026386186809696233,-0.007557291347471911,0.025066924820217367,0.016808043939484194,0.029138924582216272,0.7447577552787037,0.22299419404679446
61,0,61,0.0037569940927065105,0.007504277679814373,0.002433980353810188,0.006279129560586609,-0.004003754935532423,0.010520036052434012,0.011334547637025131,0.02523923236853737,-0.006857003269691897,0.02347497059597146,0.011429756583638663,0.028763535795457994,0.7535258561302813,0.22714901618515176
62,0,62,0.003969469557698483,0.007050127978277042,0.002652854890640873,0.005949657598864425,-0.0045548414909642124,0.011743931184596386,0.010659502320940754,0.02632652692658672,-0.007222388818666251,0.031866674794961775,0.013032964185610974,0.031760130944449565,0.7566092456808613,0.21514150395131096
63,0,63,0.004201787600327877,0.00954506748362298,0.0022484143238610116,0.0068927443412469995,-0.002962873210683126,0.012537590108700217,0.013215036875919807,0.023505454135613557,-0.008303141923718532,0.03619256123086008,0.011487510279361948,0.039256640569771066,0.7454118811048172,0.23359658071021505
64,0,64,0.0039360696831013346,0.00906989907346318,0.0020239681710972597,0.0073163616609433785,-0.0029960091417977385,0.013759814949148562,0.013680263237681567,0.02451254846655223,-0.008131265621129431,0.04032617211482384,0.011971649925328159,0.040124388826310184,0.7511508209644875,0.2367422856195073
65,0,65,0.004255294040559346,0.007545182617554295,0.0022080320028141694,0.006720163703127056,-0.003291665437968958,0.011086292248381143,0.013836022892296029,0.02197853978850589,-0.00939530740847425,0.03330190813832599,0.01067588080517174,0.03309562323724659,0.7517099227744514,0.23164594880156195
66,0,66,0.004458642939415179,0.008364120562667087,0.0018183471017826699,0.007228444035757998,-0.0026223615878234866,0.012053014426894278,0.01684894397366842,0.02526937221424517,-0.007520529769484348,0.023292497514512563,0.008039985550022926,0.03189632693942004,0.732492463318145,0.25072972789302106
67,0,67,0.004357306324929031,0.008048345984048933,0.002021665496985166,0.007353910532787134,-0.001366841485984784,0.013927324696998976,0.018829320183744606,0.031373938698459836,-0.007809364707001764,0.028924909547404395,0.008829538399107802,0.0353212419659453,0.7318569047086396,0.25911493736702035
68,0,68,0.004082595899373728,0.007524131274051283,0.0022775618900733167,0.006894125569881092,-0.002408621962500247,0.012087854220234184,0.017776221007624306,0.022832111743538257,-0.007407020525577509,0.02987127534205895,0.01079480727192597,0.026789954215616963,0.7351069737893074,0.2623890875841828
69,0,69,0.0038102888084412378,0.007430906841312762,0.0024868779036397526,0.006253993009768045,-0.002867621302502533,0.01017048326656629,0.015199940397281028,0.02045884765603719,-0.008492734258758284,0.025866572384292446,0.013883008780501915,0.028986082859238295,0.7439005385536682,0.24410492090914582
70,0,70,0.0039382461067527744,0.007586864247515934,0.0024886917112690887,0.007007111743955059,-0.00343803097349431,0.011061257556226917,0.015261154385717136,0.023445181781814,-0.007342580596658123,0.02784722792209149,0.012487348462381797,0.02744267796964436,0.7588201737270472,0.24088051450250242
71,0,71,0.0047020373507438516,0.00744428573847603,0.0025226474408719555,0.007394637814323681,-0.0035717777348341154,0.01102370999361959,0.015347344247219279,0.025590255583674466,-0.00797844745959619,0.0339358029943191,0.014154970556202578,0.03539771765902244,0.7520765956250653,0.23644096582242924
72,0,72,0.0040561893358211105,0.007364699019581492,0.002352447169419187,0.007714700415148121,-0.0017133757359637269,0.01237981191770013,0.01696558517923086,0.022033680038721044,-0.010052594222972291,0.03531775187123008,0.013469508356155114,0.0319514165248762,0.7438825189866327,0.26156580765759463
